Id,VendorName,Route,RunType,Type,Reason,Delay,Schools,School Reported,DateOccured
323215,VAN TRANS LLC (B2192),x150,AM Run,Running Late,Heavy Traffic,0-15 Min,10095,false,2021-01-25
323226,VAN TRANS LLC (B2192),c905,AM Run,Running Late,Heavy Traffic,0-15 Min,75960,false,2021-01-25
323232,"RELIANT TRANSPORTATION, INC (B2321)",q113,AM Run,Running Late,Heavy Traffic,31-45 Min,28662,false,2021-01-25
323242,B & F SKILLED INC.(B2192),l352,AM Run,Running Late,Heavy Traffic,16-30 Min,13685,false,2021-01-25
323243,VAN TRANS LLC (B2192),w213,AM Run,Running Late,Heavy Traffic,0-15 Min,75442,false,2021-01-25
322670,PRIDE TRANSPORTATION (SCH AGE),k202,AM Run,Running Late,Other,46-60 Min,15088,false,2021-01-12
322670,PRIDE TRANSPORTATION (SCH AGE),k202,AM Run,Running Late,Other,46-60 Min,15230,false,2021-01-12
322670,PRIDE TRANSPORTATION (SCH AGE),k202,AM Run,Running Late,Other,46-60 Min,15295,false,2021-01-12
322671,L & M BUS CORP.,3602a,AM Run,Running Late,Other,46-60 Min,c481,false,2021-01-12
322685,QUALITY TRANSPORTATION CORP.,k9684,PM Run,Breakdown,Won`t Start,,16021,false,2021-01-12
322685,QUALITY TRANSPORTATION CORP.,k9684,PM Run,Breakdown,Won`t Start,,16309,false,2021-01-12
322685,QUALITY TRANSPORTATION CORP.,k9684,PM Run,Breakdown,Won`t Start,,16628,false,2021-01-12
322686,PHILLIP BUS CORP (B2192),m888,PM Run,Running Late,Mechanical Problem,31-45 Min,03008,false,2021-01-12
322686,PHILLIP BUS CORP (B2192),m888,PM Run,Running Late,Mechanical Problem,31-45 Min,03417,false,2021-01-12
322689,LEESEL TRANSPORTATION CORP (B2192),n608,PM Run,Running Late,Heavy Traffic,31-45 Min,02028,false,2021-01-12
322701,I & Y TRANSIT CORP,b0450a,AM Run,Running Late,Other,46-60 Min,c266,false,2021-01-12
322730,L & M BUS CORP.,b0211a,AM Run,Running Late,Other,46-60 Min,s634,false,2021-01-12
322733,"BORO TRANSIT, INC.",m000,AM Run,Running Late,Heavy Traffic,31-45 Min,05030,false,2021-01-12
322733,"BORO TRANSIT, INC.",m000,AM Run,Running Late,Heavy Traffic,31-45 Min,05079,false,2021-01-12
322733,"BORO TRANSIT, INC.",m000,AM Run,Running Late,Heavy Traffic,31-45 Min,05440,false,2021-01-12
322422,"BORO TRANSIT, INC.",k325,PM Run,Breakdown,Mechanical Problem,,21470,false,2021-01-06
322423,Y & M TRANSIT CORP (B2192),k896,AM Run,Running Late,Other,16-30 Min,21002,false,2021-01-06
322423,Y & M TRANSIT CORP (B2192),k896,AM Run,Running Late,Other,16-30 Min,21153,false,2021-01-06
322423,Y & M TRANSIT CORP (B2192),k896,AM Run,Running Late,Other,16-30 Min,21445,false,2021-01-06
322423,Y & M TRANSIT CORP (B2192),k896,AM Run,Running Late,Other,16-30 Min,21462,false,2021-01-06
322426,PIONEER TRANSPORTATION CORP,x003,AM Run,Running Late,Heavy Traffic,0-15 Min,07449,false,2021-01-06
322428,PRIDE TRANSPORTATION (SCH AGE),p787,AM Run,Running Late,Heavy Traffic,16-30 Min,28695,false,2021-01-06
322431,"RELIANT TRANSPORTATION, INC (B2321)",l619,PM Run,Breakdown,Mechanical Problem,,13446,false,2021-01-06
322431,"RELIANT TRANSPORTATION, INC (B2321)",l619,PM Run,Breakdown,Mechanical Problem,,13462,false,2021-01-06
